Country Name,Country Code,2022 [YR2022] - GDP (current US$) [NY.GDP.MKTP.CD],"2022 [YR2022] - Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",2022 [YR2022] - Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],2022 [YR2022] - Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],"2022 [YR2022] - Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","2022 [YR2022] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","2022 [YR2022] - Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]",2022 [YR2022] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD]
Nicaragua,NIC,15649934214.9276,15.2,49.8468202738711,65.492348138332,8.77784600858911,74.615,2.284,2119.39517922306
Niger,NER,15433852712.2963,117.3,8.52377989130102,22.8087338137768,4.01899997944743,62.08,6.749,547.420151334177
Nigeria,NGA,472624596925.938,107.2,..,..,11.3113349413983,53.633,5.143,2449.58798087473
North Macedonia,MKD,13711469681.1535,4.6,73.958370946073,94.8665302854667,7.71002424569825,74.4248780487805,1.6,6217.95164120428
Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..
Norway,NOR,593726965415.619,2.2,55.4600670265005,27.1451195562867,28.1618243830717,82.5609756097561,1.41,79434.6256451575
Oman,OMN,114667360208.062,10.5,..,..,24.6463512816889,73.935,2.567,18856.8752373478
Pakistan,PAK,374787958882.308,61,10.5434684064956,22.4969043647628,13.917398023895,66.431,3.41,1696.95649035432
Palau,PLW,242333709.716797,22.3,14.1997472292118,78.3376681239942,5.8108283164358,..,..,12426.9757092281
Panama,PAN,76522511780.6222,13.3,47.9213464996077,47.9906701279787,2.44940366609117,76.826,2.297,15388.0558648904
Papua New Guinea,PNG,31603619036.6338,41.4,..,..,15.4454023424831,65.958,3.165,2462.54909155505
Paraguay,PRY,41952910858.0846,17.4,34.3693845850532,39.3685204368034,8.05446050272607,70.475,2.444,6199.60038231035
Peru,PER,246488757636.211,15.1,28.9044343292124,28.3466391065968,4.76646193670118,73.385,2.164,6549.33483034558
Philippines,PHL,404353369604.631,27.5,28.3874015457939,44.042282064966,5.48864820202009,72.187,2.725,3528.33042834523
Poland,POL,689763329458.441,4.4,62.8791875108544,61.1039814647987,10.618433723939,77.3048780487805,1.261,17178.6683428459
Portugal,PRT,255196659934.378,3.2,49.5989684939982,52.0061808822047,4.998410510567,81.5804878048781,1.43,22125.9391947109
Puerto Rico,PRI,113567200000,..,52.5807627554435,45.9199487175875,3.03307902175796,79.72,0.9,29819.888444393
Qatar,QAT,235770403734.9,5.2,68.5806422610466,31.6070438717343,25.8807046283002,81.559,1.781,63428.3640948178
Romania,ROU,298891515898.026,6.8,43.2737567768803,49.9541440675511,13.2010599153898,75.3048780487805,1.81,12131.7362531908
Russian Federation,RUS,2266029240645.34,4.8,28.0257191670312,15.2329856559408,16.7152740606271,72.5456097560976,1.416,10030.0390625
Rwanda,RWA,13316160803.5187,38,22.4780610085416,38.6670209976843,15.9144992066923,67.129,3.749,939.728149535271
Samoa,WSM,832945205.637185,16.1,12.2663826209512,52.7167977064992,5.63837728809762,72.598,3.875,3591.80494763263
San Marino,SMR,..,1.5,..,..,..,..,..,..
Sao Tome and Principe,STP,542686976.457587,14.5,..,..,16.303616553937,68.794,3.751,1395.15752802692
Saudi Arabia,SAU,1108571466666.67,6.4,40.221276968341,23.2923909521515,17.9839455619021,77.905,2.393,21478.8165337121
Senegal,SEN,27619479059.6131,37,26.857557599241,53.1755201063762,8.73206311614976,67.913,4.314,1460.49490330396
Serbia,SRB,63563410720.7093,5.1,63.8403524940413,74.8103761182678,10.3500766703969,75.4821951219512,1.63,7493.16180160028
Seychelles,SYC,2057968519.83091,14.5,88.3864980757065,97.7856135779398,1.52239094163566,73.8487804878049,2.32,16188.7813275605
Sierra Leone,SLE,4094563859.43556,100.8,31.8781619986439,56.2162068186165,25.3319745115446,60.411,3.876,626.902043510272
Singapore,SGP,498474540987.78,2.2,185.757032866998,147.224336990913,13.4781380113655,82.8951219512195,1.04,67948.8928271514
Sint Maarten (Dutch part),SXM,1537088715.0838,..,..,..,3.46083611779808,74.409,1.572,33305.6318630742
Slovak Republic,SVK,115584743573.553,5.9,99.2974035881884,104.650716243209,7.48425854617005,77.0658536585366,1.57,18898.0428440638
Slovenia,SVN,60063475466.3446,2.3,94.1460703633174,91.8807617480669,6.48269750268742,81.2829268292683,1.55,25349.7585533515
Solomon Islands,SLB,1566360686.10632,18.3,26.2867431210615,51.7491878351403,2.01661207154767,70.742,3.925,2084.34705555229
Somalia,SOM,10419541202.0391,106.1,17.3140444959166,78.5255304558579,6.53345125271747,56.107,6.202,509.075021001872
South Africa,ZAF,405270850098.738,34.5,33.5384457909833,31.5222896280307,4.75948416121869,61.48,2.341,6022.42750832719
South Sudan,SSD,..,98.8,..,..,..,55.567,4.337,..
Spain,ESP,1417800466262.65,3,40.8740642479781,39.6624422431459,4.14232319860571,83.0829268292683,1.16,27702.7452993409
Sri Lanka,LKA,74144875098.0587,6.5,21.5590215424198,25.122416739822,47.4636957963534,76.61,1.974,4035.6526670538
St. Kitts and Nevis,KNA,981429629.62963,15.4,..,..,3.42010359088465,72.027,1.512,20628.6863992893
St. Lucia,LCA,2343703788.17323,17.3,..,..,8.18212060803862,71.294,1.387,10988.9714280724
St. Martin (French part),MAF,..,..,..,..,..,80.55,2.385,..
St. Vincent and the Grenadines,VCT,966492592.592592,10.9,..,..,3.40404091410261,68.972,1.778,8629.53134407625
Sudan,SDN,51666875363.0963,51.6,1.57116183055586,1.12767260530269,116.874075405794,65.578,4.384,1025.3212890625
Suriname,SUR,3620987993.32637,16.6,..,..,43.8890753361491,70.289,2.322,7141.96043605714
Sweden,SWE,590409594949.102,2.5,52.8615597522319,50.1274459516464,6.01623479420958,83.109756097561,1.52,55894.1619424147
Switzerland,CHE,818426550206.45,4,76.9356153921115,63.2339333939957,2.4971595038279,83.4536585365854,1.39,90057.0359422233
Syrian Arab Republic,SYR,..,21.4,..,..,..,72.3,2.704,..
Tajikistan,TJK,10713525200.3998,30.3,16.3531240454317,49.082387543926,8.26227281475744,71.288,3.141,1356.31721438677
Tanzania,TZA,75769974505.0106,40.5,15.4137105201683,19.5897411900311,2.76261483337198,66.782,4.661,1057.73901367188
Thailand,THA,495645210972.751,8.1,65.3629024949052,67.4934795487287,4.76699578735654,79.68,1.317,6275.92658410955
Timor-Leste,TLS,3204753000,48.6,55.6787059720359,41.9607220899707,11.355395514114,69.056,3.047,1611.46865755427
Togo,TGO,8169476148.95692,60.4,25.5991710804409,39.8886139342477,4.15581315078867,61.588,4.196,886.265439065731
Tonga,TON,500274898.085221,10.9,..,..,8.51075475047209,71.27,3.193,4356.77157454493
Trinidad and Tobago,TTO,30053575132.142,15.4,..,..,20.8145233815985,74.708,1.614,14155.1742344705
Tunisia,TUN,44579761022.8993,11.5,51.4297149817542,65.2876082698711,3.1246184443422,74.263,2.064,3917.6320865585
Turkiye,TUR,907118435952.688,9.6,38.5842021257178,42.5859274525546,96.0361149639913,78.475,1.882,14055.1055648777
Turkmenistan,TKM,56542857142.8571,40.4,25.9450985346134,13.0209196563921,6.46790534408194,69.41,2.617,8489.72226563636
Turks and Caicos Islands,TCA,1228794382.95121,5.9,..,..,10.6403018542625,74.925,1.658,20323.1486766411
Tuvalu,TUV,59065982.0873657,20.4,..,..,5.54755647980927,64.854,3.144,3988.40592075917
Uganda,UGA,45565333216.4142,40.5,12.0219954333331,22.4833064937607,4.92228673099149,63.638,4.468,934.34083896449
Ukraine,UKR,161989520721.19,8.5,35.4451153382041,51.9513986525203,34.9152972224825,68.5879268292683,1.265,2042.63903808594
United Arab Emirates,ARE,507063968277.74,5.3,..,..,13.2415371807134,79.196,1.443,45698.0105290114
United Kingdom,GBR,3088839763445.02,4.1,33.4304609651869,36.0972010561932,5.14631509041294,82.0585365853659,1.57,47343.4743776948
United States,USA,25744108000000,6.3,11.6339086209551,15.4061076810274,7.04102594330236,77.4341463414634,1.665,63720.7641611959
